                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.70472,                0.42424,                0.95657,                0.92285,                0.95327,                      1,                  0.995,                0.31965,                0.95327,                      1,                  0.995,                0.60287,                 2.5423,                  4.581,                  1.988,                 2.4619,                0.00134,                0.00134,                0.00134
                    102,                0.46399,                0.29078,                0.73443,                0.81956,                0.95327,                      1,                  0.995,                0.31965,                0.95327,                      1,                  0.995,                0.60287,                 2.5423,                  4.581,                  1.988,                 2.4619,              0.0013334,              0.0013334,              0.0013334
                    103,                0.57595,                0.31854,                0.90316,                0.95167,                0.95327,                      1,                  0.995,                0.31965,                0.95327,                      1,                  0.995,                0.60287,                 2.5423,                  4.581,                  1.988,                 2.4619,              0.0013268,              0.0013268,              0.0013268
                    104,                0.57014,                0.45712,                0.94647,                0.95054,                0.97492,                      1,                  0.995,                0.46376,                0.97492,                      1,                  0.995,                  0.796,                 1.7925,                  2.879,                 1.7379,                 1.9308,              0.0013202,              0.0013202,              0.0013202
                    105,                 0.5401,                0.72534,                0.95667,                0.89549,                0.97492,                      1,                  0.995,                0.46376,                0.97492,                      1,                  0.995,                  0.796,                 1.7925,                  2.879,                 1.7379,                 1.9308,              0.0013136,              0.0013136,              0.0013136
                    106,                 0.5438,                0.46973,                0.73613,                  0.824,                0.97492,                      1,                  0.995,                0.46376,                0.97492,                      1,                  0.995,                  0.796,                 1.7925,                  2.879,                 1.7379,                 1.9308,               0.001307,               0.001307,               0.001307
                    107,                0.53826,                0.53394,                 0.7499,                0.90143,                0.97492,                      1,                  0.995,                0.46376,                0.97492,                      1,                  0.995,                  0.796,                 1.7925,                  2.879,                 1.7379,                 1.9308,              0.0013004,              0.0013004,              0.0013004
                    108,                 0.6321,                0.68571,                0.89693,                  1.007,                0.93055,                      1,                  0.995,                0.61563,                0.93055,                      1,                  0.995,                  0.796,                 1.1004,                 2.2268,                 1.8137,                 1.1906,              0.0012938,              0.0012938,              0.0012938
                    109,                0.58169,                0.36034,                0.77133,                0.89516,                0.93055,                      1,                  0.995,                0.61563,                0.93055,                      1,                  0.995,                  0.796,                 1.1004,                 2.2268,                 1.8137,                 1.1906,              0.0012872,              0.0012872,              0.0012872
                    110,                 0.6025,                0.40183,                 1.0968,                 1.0024,                0.93055,                      1,                  0.995,                0.61563,                0.93055,                      1,                  0.995,                  0.796,                 1.1004,                 2.2268,                 1.8137,                 1.1906,              0.0012806,              0.0012806,              0.0012806
                    111,                0.54206,                0.52442,                0.84996,                0.87125,                0.93055,                      1,                  0.995,                0.61563,                0.93055,                      1,                  0.995,                  0.796,                 1.1004,                 2.2268,                 1.8137,                 1.1906,               0.001274,               0.001274,               0.001274
                    112,                0.57888,                0.38655,                0.83247,                0.95965,                 0.9007,                      1,                  0.995,                0.75243,                 0.9007,                      1,                  0.995,                0.75303,                0.94668,                 1.4794,                 2.1311,                 1.1553,              0.0012674,              0.0012674,              0.0012674
                    113,                0.41003,                0.34941,                0.66747,                0.85234,                 0.9007,                      1,                  0.995,                0.75243,                 0.9007,                      1,                  0.995,                0.75303,                0.94668,                 1.4794,                 2.1311,                 1.1553,              0.0012608,              0.0012608,              0.0012608
                    114,                0.71489,                0.66479,                0.98532,                 1.0187,                 0.9007,                      1,                  0.995,                0.75243,                 0.9007,                      1,                  0.995,                0.75303,                0.94668,                 1.4794,                 2.1311,                 1.1553,              0.0012542,              0.0012542,              0.0012542
                    115,                0.32863,                0.26048,                0.97614,                0.81332,                 0.9007,                      1,                  0.995,                0.75243,                 0.9007,                      1,                  0.995,                0.75303,                0.94668,                 1.4794,                 2.1311,                 1.1553,              0.0012476,              0.0012476,              0.0012476
                    116,                0.47533,                0.44563,                0.71649,                0.92309,                 0.8827,                      1,                  0.995,                0.85963,                 0.8827,                      1,                  0.995,                0.81184,                0.81577,                 1.1193,                  2.129,                 1.1086,               0.001241,               0.001241,               0.001241
                    117,                0.58504,                0.42579,                  0.762,                0.89303,                 0.8827,                      1,                  0.995,                0.85963,                 0.8827,                      1,                  0.995,                0.81184,                0.81577,                 1.1193,                  2.129,                 1.1086,              0.0012344,              0.0012344,              0.0012344
                    118,                 0.4917,                0.30884,                0.65879,                0.85476,                 0.8827,                      1,                  0.995,                0.85963,                 0.8827,                      1,                  0.995,                0.81184,                0.81577,                 1.1193,                  2.129,                 1.1086,              0.0012278,              0.0012278,              0.0012278
                    119,                0.71929,                0.40099,                 0.9297,                 1.0507,                 0.8827,                      1,                  0.995,                0.85963,                 0.8827,                      1,                  0.995,                0.81184,                0.81577,                 1.1193,                  2.129,                 1.1086,              0.0012212,              0.0012212,              0.0012212
                    120,                0.61437,                0.45534,                0.90449,                0.97075,                0.96589,                      1,                  0.995,                 0.8955,                0.96589,                      1,                  0.995,                 0.8955,                0.64281,                0.81096,                 1.5542,                   1.03,              0.0012146,              0.0012146,              0.0012146
                    121,                0.54272,                0.38967,                0.69254,                 1.0053,                0.96589,                      1,                  0.995,                 0.8955,                0.96589,                      1,                  0.995,                 0.8955,                0.64281,                0.81096,                 1.5542,                   1.03,               0.001208,               0.001208,               0.001208
                    122,                0.75537,                0.52488,                0.85054,                 1.0732,                0.96589,                      1,                  0.995,                 0.8955,                0.96589,                      1,                  0.995,                 0.8955,                0.64281,                0.81096,                 1.5542,                   1.03,              0.0012014,              0.0012014,              0.0012014
                    123,                0.43827,                0.30039,                0.68773,                0.85284,                0.96589,                      1,                  0.995,                 0.8955,                0.96589,                      1,                  0.995,                 0.8955,                0.64281,                0.81096,                 1.5542,                   1.03,              0.0011948,              0.0011948,              0.0011948
                    124,                0.49341,                0.34741,                0.68858,                0.89793,                      1,                0.97343,                  0.995,                0.66715,                      1,                0.97343,                  0.995,                 0.6419,                 1.4646,                 1.9406,                  2.146,                 1.5238,              0.0011882,              0.0011882,              0.0011882
                    125,                 0.4328,                 0.3162,                0.63854,                0.76873,                      1,                0.97343,                  0.995,                0.66715,                      1,                0.97343,                  0.995,                 0.6419,                 1.4646,                 1.9406,                  2.146,                 1.5238,              0.0011816,              0.0011816,              0.0011816
                    126,                0.48829,                0.31831,                0.75627,                0.95039,                      1,                0.97343,                  0.995,                0.66715,                      1,                0.97343,                  0.995,                 0.6419,                 1.4646,                 1.9406,                  2.146,                 1.5238,               0.001175,               0.001175,               0.001175
                    127,                0.50912,                0.39002,                0.76942,                0.91182,                      1,                0.97343,                  0.995,                0.66715,                      1,                0.97343,                  0.995,                 0.6419,                 1.4646,                 1.9406,                  2.146,                 1.5238,              0.0011684,              0.0011684,              0.0011684
                    128,                0.49886,                0.32586,                0.97708,                0.96228,                0.31638,                      1,                0.50269,                0.30314,                0.31638,                      1,                0.50269,                0.20912,                 1.9755,                 4.2034,                 2.9166,                 2.1519,              0.0011618,              0.0011618,              0.0011618
                    129,                0.52072,                0.35901,                 0.7237,                0.91195,                0.31638,                      1,                0.50269,                0.30314,                0.31638,                      1,                0.50269,                0.20912,                 1.9755,                 4.2034,                 2.9166,                 2.1519,              0.0011552,              0.0011552,              0.0011552
                    130,                0.55012,                0.34566,                0.72781,                0.83328,                0.31638,                      1,                0.50269,                0.30314,                0.31638,                      1,                0.50269,                0.20912,                 1.9755,                 4.2034,                 2.9166,                 2.1519,              0.0011486,              0.0011486,              0.0011486
                    131,                0.57115,                0.64656,                 0.6699,                0.92502,                0.31638,                      1,                0.50269,                0.30314,                0.31638,                      1,                0.50269,                0.20912,                 1.9755,                 4.2034,                 2.9166,                 2.1519,               0.001142,               0.001142,               0.001142
                    132,                0.54016,                0.36912,                0.65402,                0.93855,                0.43648,                      1,                 0.4975,                0.25268,                0.43648,                      1,                 0.4975,                0.17107,                 2.1728,                 4.4514,                 2.9381,                 2.3521,              0.0011354,              0.0011354,              0.0011354
                    133,                0.46523,                0.42799,                0.70598,                0.91261,                0.43648,                      1,                 0.4975,                0.25268,                0.43648,                      1,                 0.4975,                0.17107,                 2.1728,                 4.4514,                 2.9381,                 2.3521,              0.0011288,              0.0011288,              0.0011288
                    134,                0.46802,                0.37245,                0.70942,                 0.9149,                0.43648,                      1,                 0.4975,                0.25268,                0.43648,                      1,                 0.4975,                0.17107,                 2.1728,                 4.4514,                 2.9381,                 2.3521,              0.0011222,              0.0011222,              0.0011222
                    135,                0.50297,                0.35808,                0.81435,                0.90695,                0.43648,                      1,                 0.4975,                0.25268,                0.43648,                      1,                 0.4975,                0.17107,                 2.1728,                 4.4514,                 2.9381,                 2.3521,              0.0011156,              0.0011156,              0.0011156
                    136,                0.51792,                0.41773,                0.65629,                0.83512,                0.90422,                      1,                  0.995,                0.64205,                0.90422,                      1,                  0.995,                 0.4664,                 1.5363,                 4.5796,                 2.1323,                 1.7999,               0.001109,               0.001109,               0.001109
                    137,                0.62999,                0.39991,                0.86003,                0.92401,                0.90422,                      1,                  0.995,                0.64205,                0.90422,                      1,                  0.995,                 0.4664,                 1.5363,                 4.5796,                 2.1323,                 1.7999,              0.0011024,              0.0011024,              0.0011024
                    138,                0.41776,                0.31357,                0.87586,                0.77639,                0.90422,                      1,                  0.995,                0.64205,                0.90422,                      1,                  0.995,                 0.4664,                 1.5363,                 4.5796,                 2.1323,                 1.7999,              0.0010958,              0.0010958,              0.0010958
                    139,                0.44806,                0.41264,                0.64282,                0.91631,                0.90422,                      1,                  0.995,                0.64205,                0.90422,                      1,                  0.995,                 0.4664,                 1.5363,                 4.5796,                 2.1323,                 1.7999,              0.0010892,              0.0010892,              0.0010892
                    140,                0.40939,                0.27182,                0.84256,                0.87748,                0.96847,                      1,                  0.995,                 0.5271,                0.96847,                      1,                  0.995,                0.25224,                 1.9208,                 6.6727,                 1.5528,                 1.9826,              0.0010826,              0.0010826,              0.0010826
                    141,                0.43142,                0.29432,                0.59764,                0.84079,                0.96847,                      1,                  0.995,                 0.5271,                0.96847,                      1,                  0.995,                0.25224,                 1.9208,                 6.6727,                 1.5528,                 1.9826,               0.001076,               0.001076,               0.001076
                    142,                0.51378,                0.30304,                0.74125,                0.98972,                0.96847,                      1,                  0.995,                 0.5271,                0.96847,                      1,                  0.995,                0.25224,                 1.9208,                 6.6727,                 1.5528,                 1.9826,              0.0010694,              0.0010694,              0.0010694
                    143,                0.43898,                0.31194,                0.67799,                0.86616,                0.96847,                      1,                  0.995,                 0.5271,                0.96847,                      1,                  0.995,                0.25224,                 1.9208,                 6.6727,                 1.5528,                 1.9826,              0.0010628,              0.0010628,              0.0010628
                    144,                0.49891,                0.50799,                0.68258,                 0.8692,                0.98244,                      1,                  0.995,                0.46174,                0.98244,                      1,                  0.995,                0.32244,                 1.8311,                 6.4016,                 2.1011,                 2.2308,              0.0010562,              0.0010562,              0.0010562
                    145,                0.41531,                0.27555,                0.65631,                0.90309,                0.98244,                      1,                  0.995,                0.46174,                0.98244,                      1,                  0.995,                0.32244,                 1.8311,                 6.4016,                 2.1011,                 2.2308,              0.0010496,              0.0010496,              0.0010496
                    146,                0.44063,                0.36339,                0.80937,                0.84322,                0.98244,                      1,                  0.995,                0.46174,                0.98244,                      1,                  0.995,                0.32244,                 1.8311,                 6.4016,                 2.1011,                 2.2308,               0.001043,               0.001043,               0.001043
                    147,                0.32108,                0.46634,                 0.5711,                0.86429,                0.98244,                      1,                  0.995,                0.46174,                0.98244,                      1,                  0.995,                0.32244,                 1.8311,                 6.4016,                 2.1011,                 2.2308,              0.0010364,              0.0010364,              0.0010364
                    148,                0.52069,                0.43517,                0.74641,                0.91622,                0.98941,                      1,                  0.995,                0.75571,                0.98941,                      1,                  0.995,                0.52077,                0.88963,                 2.0571,                 1.5684,                 1.1283,              0.0010298,              0.0010298,              0.0010298
